,Valence_electron_concentration_ref_Avg,name,Alloy_Ni,Alloy_Cr,Alloy_Co,Alloy_Al,Alloy_Fe,phase_name,phase_fraction,Ni,Cr,Co,Al,Fe,invT,Smix_HEA,DeltaSize_HEA,Electroneg_HEA,Hmix_HEA,Omega_HEA,Al+Cr,Cr/Al,UMAP_1,UMAP_2
66,8.185,46,54,18,14,14,0,FCC_L12#1,0.963,54.1,18.4,14.1,13.4,0,0.7027406886858749,9.888518555799815,0.04943759,0.12453640070276638,-12.003992,1.4090335124531654,31.799999999999997,1.373134328358209,19.360327,7.8599453
67,8.200000000000001,47,54,20,12,12,2,FCC_L12#1,1,54,20,12,12,2,0.7027406886858749,10.323758239841819,0.047320291,0.12336352783541817,-11.3824,1.5687794874615355,32,1.6666666666666667,19.577026,8.6538
68,8.24,48,56.00000000000001,20,12,12,0,FCC_L12#1,1,56.00000000000001,20,12,12,0,0.7027406886858749,9.606404553326094,0.047282496,0.12401548290435349,-11.488,1.444965102033453,32,1.6666666666666667,19.98207,8.621648
69,8.3,49,54,20,12,10,4,FCC_L12#1,1,54,20,12,10,4,0.7027406886858749,10.542761120336538,0.043859764698477674,0.11970697556951304,-10.272,1.7932570558608425,30,2,19.708275,8.758185
70,8.180000000000001,50,54,20,10,12,4,FCC_L12#1,1,54,20,10,12,4,0.7027406886858749,10.542761120336538,0.047388882,0.12306567352434224,-11.3504,1.6073742311574737,32,1.6666666666666667,19.575981,8.778192
71,8.098,51,44,20,18,12,6,FCC_L12#1,0.945,44,20.7,18.2,11,6.1,0.7027406886858749,11.729027428704223,0.045611094,0.11978978211850956,-10.44942,1.9605316029512967,31.7,1.8818181818181818,16.73941,7.59929
72,7.439,51,44,20,18,12,6,BCC_B2#2,0.055,44.8,8.5,13.8,28.5,4.399999999999999,0.7027406886858749,11.122118226467766,0.064269083,0.1351985647113163,-17.196544,1.0020061224590087,37,0.2982456140350877,15.014073,4.6678476
73,8.119,52,44,18,18,14,6,FCC_L12#1,0.832,43.9,20,18.8,11.1,6.3,0.7027406886858749,11.769945973229383,0.045755221034576354,0.11934104316998403,-10.448844,1.9654244649865558,31.1,1.8018018018018018,16.73941,7.59929
74,7.449999999999999,52,44,18,18,14,6,BCC_B2#2,0.168,44.6,8.200000000000001,14.2,28.4,4.6,0.7027406886858749,11.153300987666535,0.064210833,0.13488198693672918,-17.13336,1.008367764410163,36.6,0.28873239436619724,15.014073,4.6678476
75,8.069999999999999,53,44,20,18,14,4,FCC_L12#1,0.831,43.8,22.2,18.8,11,4.2,0.7027406886858749,11.522064684728853,0.045553166,0.12127138986587065,-10.598032,1.9048482595483236,33.2,2.018181818181818,16.918774,8.064064
76,7.428,53,44,20,18,14,4,BCC_B2#2,0.169,45.1,9.2,14,28.6,3.1,0.7027406886858749,10.971002747477815,0.064273547,0.1359366381811761,-17.344864,0.9808067198657663,37.8,0.3216783216783216,15.280976,5.004057
77,7.425,54,42,18,20,16,4,BCC_B2#2,0.297,43.2,9.2,16,28.3,3.3,0.7027406886858749,11.183301439131442,0.064052658,0.1351735343919067,-17.147828,1.0134589734076132,37.5,0.3250883392226148,14.394079,4.4484825
78,8.072999999999999,54,42,18,20,16,4,FCC_L12#1,0.703,41.5,21.7,21.7,10.8,4.3,0.7027406886858749,11.67071484690651,0.045165902,0.1200893001062126,-10.359444,1.9745046537581117,32.5,2.009259259259259,16.449387,7.390946
79,8.083,55,44,18,18,16,4,FCC_L12#1,0.718,43.7,21.5,19.4,11.1,4.3,0.7027406886858749,11.553827425933841,0.045725998,0.12083742756282091,-10.588588,1.9078358572891296,32.6,1.936936936936937,17.009773,7.830778
80,7.437000000000001,55,44,18,18,16,4,BCC_B2#2,0.282,44.9,9,14.4,28.5,3.2,0.7027406886858749,11.001110171426749,0.064211372,0.13569077197805304,-17.290976,0.9866484817186331,37.5,0.3157894736842105,14.535351,4.913592
81,8.088,56,44,20,20,14,2,FCC_L12#1,0.844,43.8,22,20.9,11.3,2.1,0.7027406886858749,11.21870739112781,0.045969391555950104,0.12196408981171462,-10.792556,1.8187076855585382,33.3,1.9469026548672566,17.026388,7.6675076
82,7.441000000000001,56,44,20,20,14,2,BCC_B2#2,0.156,45.2,9.5,15.2,28.5,1.6,0.7027406886858749,10.748355444682044,0.064136881,0.1363121120810619,-17.419144,0.9576595420898842,38,0.3333333333333333,15.280976,5.004057
83,7.456,57,44,18,20,14,4,BCC_B2#2,0.155,44.6,8.5,15.4,28.4,3.1,0.7027406886858749,10.998878944742854,0.064132261,0.13533623867981548,-17.234508,0.9889475724086898,36.9,0.2992957746478873,14.394079,4.4484825
84,8.127999999999998,57,44,18,20,14,4,FCC_L12#1,0.845,43.9,19.8,20.8,11.4,4.2,0.7027406886858749,11.55125753263161,0.046200785,0.11999212570873137,-10.628184,1.8917595302749217,31.200000000000003,1.736842105263158,16.87733,7.3245654
85,8.163,58,46,18,20,12,4,FCC_L12#1,0.993,46,18.1,20,11.9,4,0.7027406886858749,11.39457631022872,0.047088512901312995,0.11971414912198138,-10.81556,1.8191559949689549,30,1.5210084033613447,17.344543,6.925368
86,7.485000000000001,58,46,18,20,12,4,BCC_B2#2,0.007,45.9,7.8,14.8,28.5,3,0.7027406886858749,10.825785687490374,0.064214379,0.13543269324649784,-17.30724,0.966615386,36.3,0.2736842105263158,15.014073,4.6678476
87,8.149000000000001,59,46,18,18,12,6,FCC_L12#1,0.978,46,18.2,18.1,11.6,6,0.7027406886858749,11.600931776657935,0.046711702,0.11900135312844133,-10.621248,1.8881774790340784,29.799999999999997,1.5689655172413792,17.18298,7.2785945
